연도,age,유튜브,넷플릭스,티빙,웨이브,SOOP(구 아프리카TV),카카오TV,왓챠,쿠팡플레이,NAVER TV(구 NOW),디즈니플러스,U플러스모바일TV,애플TV플러스,기타,OTT 비이용,theater_visit_freq
2023,13-19세,74.3,36.1,9.0,8.0,3.6,3.2,2.8,3.5,2.4,5.7,0.9,0.7,0.1,21.3,11.8
2023,20대,80.8,58.9,13.1,10.3,3.6,1.9,4.8,8.3,1.9,8.7,1.5,1.4,0.1,12.7,12.725
2023,30대,73.8,54.4,12.1,10.1,2.0,1.0,3.8,8.1,0.9,9.6,1.2,0.7,0.0,18.5,13.45
2023,40대,69.9,40.1,7.1,5.1,0.8,1.3,2.1,5.9,0.4,5.1,1.1,0.4,0.0,22.7,10.25
2023,50대,65.4,24.6,2.1,1.7,0.4,0.8,1.7,2.6,0.6,1.6,0.5,0.1,0.1,30.7,9.65
2023,60대 ,49.8,8.6,0.9,0.6,0.2,0.3,0.5,0.6,0.2,0.6,0.3,0.1,0.0,48.6,9.25
2023,70대 이상,18.5,1.5,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,81.3,>9.25
2024,13-19세,80.1,42.1,10.0,5.2,4.0,1.4,2.7,5.8,0.8,6.7,1.2,1.3,0.1,16.2,13.15
2024,20대,86.0,57.6,22.0,12.7,3.2,2.3,3.6,14.2,1.0,10.0,1.8,1.5,0.0,8.3,14.75
2024,30대,83.0,58.0,18.0,10.2,2.5,2.0,4.2,15.2,0.7,11.1,1.6,0.8,0.0,10.0,14.35
2024,40대,76.8,42.4,13.3,5.0,0.8,1.1,1.7,9.9,0.5,7.9,1.3,0.7,0.0,16.9,11.15
2024,50대,73.5,26.8,5.9,1.8,0.6,0.7,0.7,4.8,0.3,2.7,0.8,0.1,0.0,24.0,10.8
2024,60대 ,60.0,9.4,1.8,0.9,0.2,0.2,0.2,1.7,0.1,0.3,0.4,0.0,0.0,38.4,10.2
2024,70대 이상,25.4,2.1,0.4,0.2,0.1,0.1,0.1,0.2,0.1,0.1,0.3,0.0,0.0,73.4,>10.2
