performance_id,movie_id,performance_date,daily_audi_cnt,daily_sales_amt,screen_cnt,show_cnt
1,20190300,2024-12-31,97289,868502890,1029,1029
2,20190300,2025-01-01,93154,880276910,979,979
3,20190300,2025-01-02,25303,222931920,915,915
4,20190300,2025-01-03,21203,198105460,833,833
5,20190300,2025-01-04,45091,431379240,779,779
6,20190300,2025-01-05,36860,356269140,758,758
7,20190300,2025-01-06,14063,124658000,711,711
8,20190300,2025-01-07,11178,99405800,713,713
9,20190300,2025-01-08,8410,72624900,623,623
10,20190300,2025-01-09,6104,53290920,610,610
11,20190300,2025-01-10,7035,63674600,621,621
12,20190300,2025-01-11,14127,136820140,661,661
13,20190300,2025-01-12,12818,124944620,622,622
14,20190300,2025-01-13,5401,46524400,518,518
15,20190300,2025-01-14,3884,33876020,509,509
16,20190300,2025-01-15,0,0,0,0
17,20190300,2025-01-16,0,0,0,0
18,20190300,2025-01-17,0,0,0,0
19,20190300,2025-01-18,0,0,0,0
20,20190300,2025-01-19,0,0,0,0
21,20190300,2025-01-20,0,0,0,0
22,20190300,2025-01-21,0,0,0,0
23,20190300,2025-01-22,0,0,0,0
24,20190300,2025-01-23,0,0,0,0
25,20190300,2025-01-24,0,0,0,0
26,20190300,2025-01-25,0,0,0,0
27,20190300,2025-01-26,0,0,0,0
28,20190300,2025-01-27,0,0,0,0
29,20190300,2025-01-28,0,0,0,0
30,20190300,2025-01-29,0,0,0,0
31,20190300,2025-01-30,0,0,0,0
32,20190300,2025-01-31,0,0,0,0
33,20190300,2025-02-01,0,0,0,0
34,20190300,2025-02-02,0,0,0,0
35,20190300,2025-02-03,0,0,0,0
36,20190300,2025-02-04,0,0,0,0
37,20190300,2025-02-05,0,0,0,0
38,20190300,2025-02-06,0,0,0,0
39,20190300,2025-02-07,0,0,0,0
40,20190300,2025-02-08,0,0,0,0
41,20190300,2025-02-09,0,0,0,0
42,20190300,2025-02-10,0,0,0,0
43,20190300,2025-02-11,0,0,0,0
44,20190808,2023-01-18,104795,998963192,1289,1289
45,20190808,2023-01-19,67513,650786476,1279,1279
46,20190808,2023-01-20,91472,937772286,1281,1281
47,20190808,2023-01-21,163179,1705050218,1281,1281
48,20190808,2023-01-22,232034,2472624642,1266,1266
49,20190808,2023-01-23,286895,2983628465,1263,1263
50,20190808,2023-01-24,190290,1973468456,1231,1231
51,20190808,2023-01-25,59948,503863015,937,937
52,20190808,2023-01-26,36617,355871586,945,945
53,20190808,2023-01-27,40310,409897994,937,937
54,20190808,2023-01-28,89329,921868437,955,955
55,20190808,2023-01-29,75886,784531484,948,948
56,20190808,2023-01-30,25065,240075650,857,857
57,20190808,2023-01-31,24049,226419788,871,871
58,20190808,2023-02-01,20015,187989130,799,799
59,20190808,2023-02-02,18604,174865393,781,781
60,20190808,2023-02-03,21062,202609612,783,783
61,20190808,2023-02-04,38340,392565023,782,782
62,20190808,2023-02-05,32959,337518081,761,761
63,20190808,2023-02-06,12707,118030910,663,663
64,20190808,2023-02-07,11587,107239222,674,674
65,20190808,2023-02-08,7853,74349517,619,619
66,20190808,2023-02-09,7552,71557751,631,631
67,20190808,2023-02-10,8707,85340249,627,627
68,20190808,2023-02-11,15291,156504792,689,689
69,20190808,2023-02-12,14129,145186414,681,681
70,20190808,2023-02-13,5334,51395677,537,537
71,20190808,2023-02-14,5876,55944380,574,574
72,20190808,2023-02-15,0,0,0,0
73,20190808,2023-02-16,0,0,0,0
74,20190808,2023-02-17,0,0,0,0
75,20190808,2023-02-18,0,0,0,0
76,20190808,2023-02-19,0,0,0,0
77,20190808,2023-02-20,0,0,0,0
78,20190808,2023-02-21,0,0,0,0
79,20190808,2023-02-22,0,0,0,0
80,20190808,2023-02-23,0,0,0,0
81,20190808,2023-02-24,0,0,0,0
82,20190808,2023-02-25,0,0,0,0
83,20190808,2023-02-26,0,0,0,0
84,20190808,2023-02-27,0,0,0,0
85,20190808,2023-02-28,0,0,0,0
86,20190808,2023-03-01,0,0,0,0
87,20190808,2023-03-02,0,0,0,0
88,20190808,2023-03-03,0,0,0,0
89,20190808,2023-03-04,0,0,0,0
90,20190808,2023-03-05,0,0,0,0
91,20190808,2023-03-06,0,0,0,0
92,20190808,2023-03-07,0,0,0,0
93,20190808,2023-03-08,0,0,0,0
94,20190808,2023-03-09,0,0,0,0
95,20190808,2023-03-10,0,0,0,0
96,20190808,2023-03-11,0,0,0,0
97,20190808,2023-03-12,0,0,0,0
98,20190808,2023-03-13,0,0,0,0
99,20190808,2023-03-14,0,0,0,0
100,20190808,2023-03-15,0,0,0,0
101,20190808,2023-03-16,0,0,0,0
102,20190808,2023-03-17,0,0,0,0
103,20190808,2023-03-18,0,0,0,0
104,20190808,2023-03-19,0,0,0,0
105,20190808,2023-03-20,0,0,0,0
106,20190808,2023-03-21,0,0,0,0
107,20190808,2023-03-22,0,0,0,0
108,20190808,2023-03-23,0,0,0,0
109,20190808,2023-03-24,0,0,0,0
110,20190808,2023-03-25,0,0,0,0
111,20190808,2023-03-26,0,0,0,0
112,20190808,2023-03-27,0,0,0,0
113,20190808,2023-03-28,0,0,0,0
114,20190808,2023-03-29,0,0,0,0
115,20190808,2023-03-30,0,0,0,0
116,20190808,2023-03-31,0,0,0,0
117,20190808,2023-04-01,0,0,0,0
118,20190808,2023-04-02,0,0,0,0
119,20190808,2023-04-03,0,0,0,0
120,20190808,2023-04-04,0,0,0,0
121,20190808,2023-04-05,0,0,0,0
122,20190808,2023-04-06,0,0,0,0
123,20190808,2023-04-07,0,0,0,0
124,20190808,2023-04-08,0,0,0,0
125,20190808,2023-04-09,0,0,0,0
126,20190808,2023-04-10,0,0,0,0
127,20190808,2023-04-11,0,0,0,0
128,20190808,2023-04-12,0,0,0,0
129,20190808,2023-04-13,0,0,0,0
130,20190808,2023-04-14,0,0,0,0
131,20190808,2023-04-15,0,0,0,0
132,20190808,2023-04-16,0,0,0,0
133,20190808,2023-04-17,0,0,0,0
134,20190808,2023-04-18,0,0,0,0
135,20190808,2023-04-19,0,0,0,0
136,20190808,2023-04-20,0,0,0,0
137,20190808,2023-04-21,0,0,0,0
138,20190808,2023-04-22,0,0,0,0
139,20190808,2023-04-23,0,0,0,0
140,20190808,2023-04-24,0,0,0,0
141,20190808,2023-04-25,0,0,0,0
142,20190808,2023-04-26,0,0,0,0
143,20190808,2023-04-27,0,0,0,0
144,20190808,2023-04-28,0,0,0,0
145,20190808,2023-04-29,0,0,0,0
146,20190808,2023-04-30,0,0,0,0
147,20190808,2023-05-01,0,0,0,0
148,20190808,2023-05-02,0,0,0,0
149,20190808,2023-05-03,0,0,0,0
150,20190808,2023-05-04,0,0,0,0
151,20190808,2023-05-05,0,0,0,0
152,20190808,2023-05-06,0,0,0,0
153,20190808,2023-05-07,0,0,0,0
154,20190808,2023-05-08,0,0,0,0
155,20190808,2023-05-09,0,0,0,0
156,20190808,2023-05-10,0,0,0,0
157,20190808,2023-05-11,0,0,0,0
158,20190808,2023-05-12,0,0,0,0
159,20190808,2023-05-13,0,0,0,0
