movieCd,title,openDt,nation,genre,director,company
20227528,물비늘,20231206,한국,드라마,임승현,플라시보 픽쳐스
20224579,악마들,20230705,한국,액션,김재훈,(주)콘텐츠지
20232077,어른 김장하,20231115,한국,다큐멘터리,김현지,MBC경남
20227410,천박사 퇴마 연구소: 설경의 비밀,20230927,한국,판타지,김성식,(주)외유내강
20232839,차박- 살인과 낭만의 밤,20230913,한국,스릴러,형인혁,(주)타이거스튜디오
20232284,만분의 일초,20231115,한국,액션,김성환,한국영화아카데미
20217388,육지것들,20230608,한국,코미디,이황,주식회사 씨엠닉스
20230167,아줌마,20231129,한국,드라마,허 슈밍,(주)더웨일컴퍼니
20223452,레이디,20230726,한국,드라마,오성수,(주)크리허브 
20234796,비밀,20231213,한국,미스터리,소준범,스튜디오고트
20225894,뉴 노멀,20231108,한국,스릴러,정범식,언파스튜디오
20208962,대외비,20230301,한국,범죄,이원태,(주)트윈필름
20219997,드림팰리스,20230531,한국,드라마,가성문,㈜인디스토리
20228210,괴인,20231108,한국,드라마,이정홍,영화 <괴인> 제작위원회
20236795,리향,20231228,한국,드라마,신재천,사단법인 한국영화인총연합회 대구경북지회
20232620,2022 심규선 단독 콘서트 [밤의 정원: 앙코르],20230708,한국,공연,이승남,(주)영화사 그램
20193706,카운트,20230222,한국,드라마,권혁재,(주)필름케이
20218541,밀수,20230726,한국,액션,류승완,(주)외유내강
20197654,소울메이트,20230315,한국,드라마,민용근,클라이맥스 스튜디오(주)
20212667,화사한 그녀,20231011,한국,코미디,이승준,(주)신영이엔씨
20227626,화란,20231011,한국,드라마,김창훈,(주)사나이픽처스
20227679,프리 철수 리,20231018,한국,다큐멘터리,이성민,커넥트픽쳐스(주)
20224495,폭로,20230920,한국,범죄,홍용호,(주)로그라인스튜디오
20225824,치악산,20230913,한국,공포(호러),김선웅,(주)도호 엔터테인먼트
20227891,지옥만세,20230816,한국,어드벤처,임오정,한국영화아카데미
20211101,절해고도,20230927,한국,드라마,김미영,보리와 오디 영화사
20224667,잠,20230906,한국,미스터리,유재선,(주)루이스 픽쳐스
20228571,작은정원,20230712,한국,다큐멘터리,이마리오,아나레스
20231794,우리의 하루,20231019,한국,드라마,홍상수,(주)영화제작전원사 
20224517,용감한 시민,20231025,한국,액션,박진표,스튜디오엔(주)
20212350,약속,20231101,한국,다큐멘터리,민병훈,(주)민병훈필름
20202247,싱글 인 서울,20231129,한국,멜로/로맨스,박범수,(주)디씨지플러스
20233075,신체모음.zip,20230830,한국,공포(호러),서형우,(주)싸이더스
20212866,서울의 봄,20231122,한국,드라마,김성수,(주)하이브미디어코프
20230966,사채소년,20231122,한국,액션,황동석,(주)26컴퍼니
20234673,뽀로로 극장판 슈퍼스타 대모험,20231213,한국,애니메이션,김성민,(주)오콘
20232227,믿을 수 있는 사람,20231018,한국,드라마,곽은미,한국영화아카데미
20233921,물귀신,20231109,한국,공포(호러),임지훈,(주)콘텐츠지
20227522,룩앳미 터치미 키스미,20231206,한국,멜로/로맨스,김태식,필름라인
20231930,독친,20231101,한국,공포(호러),김수인,(주)미스터리픽처스
20235290,도티와 영원의 탑,20231227,한국,애니메이션,박인한,(주)샌드박스네트워크
20218935,더 문,20230802,한국,SF,김용화,씨제이이엔엠 스튜디오스 주식회사
20226500,달짝지근해: 7510,20230815,한국,코미디,이한,(주)무비락
20212365,느티나무 아래,20231115,한국,다큐멘터리,오정훈,영화제작소 숲길
20203702,노량: 죽음의 바다,20231220,한국,사극,김한민,(주)빅스톤픽쳐스
20227628,나의 피투성이 연인,20231115,한국,드라마,유지영,컴플렉스필름
20234798,극장판 우당탕탕 은하안전단: 진정한 용기!,20231130,한국,애니메이션,정지훈,(주)마로스튜디오
20226897,그녀의 취미생활,20230830,한국,미스터리,하명미,웬에버스튜디오
20227525,교토에서 온 편지,20231206,한국,드라마,김민주,한국영화아카데미
20223896,거미집,20230927,한국,코미디,김지운,앤솔로지스튜디오(주)
20197122,1947 보스톤,20230927,한국,드라마,강제규,(주)비에이엔터테인먼트
20228819,30일,20231003,한국,코미디,남대중,(주)영화사울림
20211047,오늘 출가합니다,20230405,한국,드라마,김성환,미러볼 스튜디오
