movieCd,title,openDt,nation,genre,director,company,budgets
20224579,악마들,20230705,한국,액션,김재훈,(주)콘텐츠지,na
20227410,천박사 퇴마 연구소: 설경의 비밀,20230927,한국,판타지,김성식,(주)외유내강,11300000000
20225894,뉴 노멀,20231108,한국,스릴러,정범식,언파스튜디오,3800000000
20208962,대외비,20230301,한국,범죄,이원태,(주)트윈필름,10200000000
20219997,드림팰리스,20230531,한국,드라마,가성문,㈜인디스토리,na
20228210,괴인,20231108,한국,드라마,이정홍,영화 <괴인> 제작위원회,300000000
20193706,카운트,20230222,한국,드라마,권혁재,(주)필름케이,5000000000
20218541,밀수,20230726,한국,액션,류승완,(주)외유내강,17500000000
20197654,소울메이트,20230315,한국,드라마,민용근,클라이맥스 스튜디오(주),4000000000
20212667,화사한 그녀,20231011,한국,코미디,이승준,(주)신영이엔씨,6000000000
20227626,화란,20231011,한국,드라마,김창훈,(주)사나이픽처스,4000000000
20225824,치악산,20230913,한국,공포(호러),김선웅,(주)도호 엔터테인먼트,2000000000
20224667,잠,20230906,한국,미스터리,유재선,(주)루이스 픽쳐스,5000000000
20224517,용감한 시민,20231025,한국,액션,박진표,스튜디오엔(주),8000000000
20202247,싱글 인 서울,20231129,한국,멜로/로맨스,박범수,(주)디씨지플러스,4500000000
20233075,신체모음.zip,20230830,한국,공포(호러),서형우,(주)싸이더스,na
20212866,서울의 봄,20231122,한국,드라마,김성수,(주)하이브미디어코프,27000000000
20230966,사채소년,20231122,한국,액션,황동석,(주)26컴퍼니,na
20234673,뽀로로 극장판 슈퍼스타 대모험,20231213,한국,애니메이션,김성민,(주)오콘,na
20235290,도티와 영원의 탑,20231227,한국,애니메이션,박인한,(주)샌드박스네트워크,na
20218935,더 문,20230802,한국,SF,김용화,씨제이이엔엠 스튜디오스 주식회사,28000000000
20226500,달짝지근해: 7510,20230815,한국,코미디,이한,(주)무비락,6500000000
20203702,노량: 죽음의 바다,20231220,한국,사극,김한민,(주)빅스톤픽쳐스,35000000000
20234798,극장판 우당탕탕 은하안전단: 진정한 용기!,20231130,한국,애니메이션,정지훈,(주)마로스튜디오,na
20223896,거미집,20230927,한국,코미디,김지운,앤솔로지스튜디오(주),9600000000
20197122,1947 보스톤,20230927,한국,드라마,강제규,(주)비에이엔터테인먼트,21000000000
20228819,30일,20231003,한국,코미디,남대중,(주)영화사울림,6000000000
20190324,3일의 휴가,20231206,한국,판타지,육상효,글뫼 주식회사,na
20223609,비밀의 언덕,20230712,한국,기타,이지은,오스프링 필름,na
20224723,시간을 꿈꾸는 소녀,20230111,한국,다큐멘터리,박혁지,(주)하이하버픽쳐스,na
20231634,괴담만찬,20231018,한국,공포(호러),안상훈,(주)스튜디오투유,na
20231021,울지마 엄마,20230517,한국,다큐멘터리,이호경,KBS,na
20204264,콘크리트 유토피아,20230809,한국,드라마,엄태화,클라이맥스 스튜디오(주),18900000000
20210684,두다다쿵: 후후섬의 비밀,20230215,한국,애니메이션,최병선,아이스크림 스튜디오(주),na
20211540,듣보인간의 생존신고,20230906,한국,다큐멘터리,김아현,(주)에이치더블유,
20198482,드림,20230426,한국,코미디,이병헌,(주)옥토버시네마,13900000000
20223565,다음 소희,20230208,한국,드라마,정주리,트윈플러스파트너스(주),1500000000
20231577,라방,20230628,한국,스릴러,최주연,올픽처스 주식회사,800000000
20228895,캐리와 슈퍼콜라,20230118,한국,애니메이션,오성윤,(주)캐리소프트,
20200622,소년들,20231101,한국,드라마,정지영,(주)아우라픽처스,10000000000
20227676,두 사람을 위한 식탁,20231025,한국,다큐멘터리,김보람,킴프로덕션,
20231681,오픈 더 도어,20231025,한국,미스터리,장항준,㈜컨텐츠랩 비보,4500000000
20227654,수라,20230621,한국,다큐멘터리,황윤,스튜디오두마,59240000
20235697,엔시티 네이션 : 투 더 월드 인 시네마,20231206,한국,공연,오윤동,씨제이포디플렉스 주식회사,
20192995,보호자,20230815,한국,액션,정우성,(주)영화사테이크,8000000000
20235631,비투비 타임 : 비투게더 더 무비,20231115,한국,공연,,(주)케이티알파,
20202026,마루이 비디오,20230222,한국,미스터리,윤준형,(주)발포플랜,3000000000
