movieCd,title,openDt,ott_release_dt,ott_release_platform,budget,genre,watch_grade_nm,show_tm,is_original_ip,is_followup,nation_nm,distributor_nm,director_nm,actor1_nm,actor2_nm,actor3_nm,Unnamed: 17
20224579,악마들,20230705,20231017.0,Netflix,200000000.0,액션,19,106,1,0.0,한국,(주)콘텐츠지,김재훈,장동윤,오대환,최귀화,na
20227410,천박사 퇴마 연구소: 설경의 비밀,20230927,20240119.0,Netflix,11300000000.0,판타지,12,98,1,0.0,한국,(주)외유내강,김성식,강동원,허준호,이솜,
20225894,뉴 노멀,20231108,20240527.0,Wavve,3800000000.0,스릴러,15,113,1,0.0,한국,언파스튜디오,정범식,최지우,이유미,최민호,
20208962,대외비,20230301,20230619.0,Tving,10200000000.0,범죄,15,116,0,0.0,한국,(주)트윈필름,이원태,조진웅,이성민,김무열,
20193706,카운트,20230222,20240606.0,Netflix,5000000000.0,드라마,12,109,0,0.0,한국,(주)필름케이,권혁재,진선규,성유빈,고창석,
20218541,밀수,20230726,20231205.0,Disney+,17500000000.0,액션,15,129,0,0.0,한국,(주)외유내강,류승완,김혜수,염정아,조인성,
20197654,소울메이트,20230315,20240913.0,Disney+,4000000000.0,드라마,12,124,1,0.0,한국,클라이맥스 스튜디오(주),민용근,김다미,전소니,변우석,
20227626,화란,20231011,20231121.0,Coupang play,4000000000.0,드라마,15,124,0,0.0,한국,(주)사나이픽처스,김창훈,홍사빈,송중기,김형서,
20225824,치악산,20230913,20231004.0,Coupang play,2000000000.0,공포(호러),15,85,0,0.0,한국,(주)도호 엔터테인먼트,김선웅,윤균상,김예원,연제욱,
20224667,잠,20230906,20231213.0,Netflix,5000000000.0,미스터리,15,94,0,0.0,한국,(주)루이스 픽쳐스,유재선,정유미,이선균,김금순,
20224517,용감한 시민,20231025,20231229.0,Wavve,8000000000.0,액션,15,112,1,0.0,한국,스튜디오엔(주),박진표,신혜선,이준영,박정우,
20202247,싱글 인 서울,20231129,20240124.0,Netflix,4500000000.0,멜로/로맨스,12,103,0,0.0,한국,(주)디씨지플러스,박범수,이동욱,임수정,이솜,
20212866,서울의 봄,20231122,20240510.0,Netflix,23250000000.0,드라마,12,141,0,0.0,한국,(주)하이브미디어코프,김성수,황정민,정우성,이성민,
20234673,뽀로로 극장판 슈퍼스타 대모험,20231213,20240903.0,Netflix,3800000000.0,애니메이션,0,77,1,1.0,한국,(주)오콘,김성민,이선,이미자,함수정,
20218935,더 문,20230802,20230825.0,Wavve,28000000000.0,SF,12,129,0,0.0,한국,씨제이이엔엠 스튜디오스 주식회사,김용화,설경구,도경수,박병은,
20226500,달짝지근해: 7510,20230815,20231229.0,Disney+,6500000000.0,코미디,12,118,0,0.0,한국,(주)무비락,이한,유해진,김희선,차인표,
20203702,노량: 죽음의 바다,20231220,20240416.0,Netflix,31200000000.0,사극,12,153,0,1.0,한국,(주)빅스톤픽쳐스,김한민,김윤석,백윤식,정재영,
20223896,거미집,20230927,20231229.0,Netflix,9600000000.0,코미디,15,135,0,0.0,한국,앤솔로지스튜디오(주),김지운,송강호,임수정,오정세,
20197122,1947 보스톤,20230927,20231101.0,Wavve (with IPTV),21000000000.0,드라마,12,108,0,0.0,한국,(주)비에이엔터테인먼트,강제규,하정우,임시완,배성우,
20228819,30일,20231003,20240228.0,Disney+,6000000000.0,코미디,12,119,0,0.0,한국,(주)영화사울림,남대중,강하늘,정소민,조민수,
20204264,콘크리트 유토피아,20230809,20231128.0,Netflix,18900000000.0,드라마,15,130,1,0.0,한국,클라이맥스 스튜디오(주),엄태화,이병헌,박서준,박보영,
20198482,드림,20230426,20230726.0,Netflix,13900000000.0,코미디,12,125,0,0.0,한국,(주)옥토버시네마,이병헌,박서준,이지은,김종수,
20223565,다음 소희,20230208,20230720.0,Netflix,1500000000.0,드라마,15,138,0,0.0,한국,트윈플러스파트너스(주),정주리,김시은,배두나,박우영,
20231577,라방,20230628,20230912.0,Netflix,800000000.0,스릴러,19,90,1,0.0,한국,올픽처스 주식회사,최주연,박성웅,박선호,김희정,
20200622,소년들,20231101,20231026.0,Netflix,10000000000.0,드라마,15,124,1,0.0,한국,(주)아우라픽처스,정지영,설경구,유준상,진경,
20231681,오픈 더 도어,20231025,20231116.0,IPTV,4500000000.0,미스터리,15,71,0,0.0,한국,㈜컨텐츠랩 비보,장항준,이순원,서영주,김수진,
20192995,보호자,20230815,20240501.0,Netflix,8000000000.0,액션,15,97,0,0.0,한국,(주)영화사테이크,정우성,정우성,김남길,김준한,
20202026,마루이 비디오,20230222,20230519.0,Netflix,3000000000.0,미스터리,15,87,1,0.0,한국,(주)발포플랜,윤준형,서현우,조민경,임한성,
20193879,비공식작전,20230802,20231009.0,Netflix,20000000000.0,드라마,12,132,0,0.0,한국,(주)와인드업필름,김성훈,하정우,주지훈,권은성,
20227684,멍뭉이,20230301,20230525.0,Wavve,3000000000.0,드라마,0,113,0,0.0,한국,(주)와이웍스엔터테인먼트,김주환,유연석,차태현,,
20226411,범죄도시3,20230531,20230707.0,Netflix,13500000000.0,범죄,15,105,0,1.0,한국,주식회사 빅펀치픽쳐스,이상용,마동석,이준혁,아오키 무네타카,
20231773,빈틈없는 사이,20230705,20230727.0,Wavve (with IPTV),2000000000.0,멜로/로맨스,15,112,1,0.0,한국,(주)갤리온엔터테인먼트,이우철,이지훈,한승연,,
20233014,타겟,20230830,20231213.0,Netflix,4500000000.0,스릴러,15,101,0,0.0,한국,(주)영화사피어나,박희곤,신혜선,김성균,임성재,
20233235,가문의 영광: 리턴즈,20230921,20231006.0,Wavve (with IPTV),4000000000.0,코미디,15,99,0,1.0,한국,(주)태원엔터테인먼트,정용기,윤현민,유라,김수미,
20211937,귀공자,20230621,20230621.0,Coupang play,9150000000.0,액션,19,118,0,0.0,한국,(주)영화사 금월,박훈정,김선호,강태주,김강우,
20200154,킬링 로맨스,20230414,20230518.0,Wavve,7500000000.0,코미디,15,107,0,0.0,한국,(주)영화사 이창,이원석,이하늬,이선균,공명,
20226489,리바운드,20230405,20230712.0,Wavve,7000000000.0,드라마,12,122,0,0.0,한국,(주)비에이엔터테인먼트,장항준,안재홍,이신영,정진운,
20214823,유령,20230118,20230228.0,Tving,13700000000.0,드라마,15,133,1,0.0,한국,더램프(주),이해영,설경구,이하늬,박소담,
20231523,그 여름,20230607,20230628.0,Tving,56000000.0,애니메이션,12,61,1,0.0,한국,(주)레드독컬처하우스,한지원,윤아영,송하림,,
20225865,옥수역귀신,20230419,20230721.0,Wavve,1750000000.0,공포(호러),15,80,1,,한국,(주)영화사조아,정용기,김보라,김재현,신소율,
20210544,웅남이,20230322,20230720.0,Netflix,4000000000.0,코미디,15,97,0,0.0,한국,(주)영화사김치,박성광,박성웅,최민수,오달수,
20190808,교섭,20230118,20230222.0,Netflix,15000000000.0,드라마,12,108,0,0.0,한국,(주)영화사수박,임순례,황정민,현빈,강기영,
20231042,빅토리,20240814,20241218.0,Disney+,8300000000.0,드라마,12,120,0,0.0,한국,(주)안나푸르나필름,박범수,이혜리,박세완,이정하,
20239670,베테랑2,20240913,20250128.0,Netflix,13000000000.0,액션,15,118,0,1.0,한국,(주)외유내강,류승완,황정민,정해인,장윤주,
20228796,하얼빈,20241224,20250425.0,Netflix,30000000000.0,드라마,15,114,0,0.0,한국,(주)하이브미디어코프,우민호,현빈,박정민,조우진,
20233217,더 킬러스,20241023,20241031.0,Netflix,200000000.0,드라마,19,119,1,0.0,한국,(주)빅인스퀘어,이명세,심은경,연우진,홍사빈,
20247017,대가족,20241211,20250411.0,Netflix,9200000000.0,드라마,12,107,1,0.0,한국,게니우스 유한회사,양우석,김윤석,이승기,김성령,
20212932,탈주,20240703,20241104.0,Netflix,8000000000.0,액션,12,94,0,0.0,한국,더램프(주),이종필,이제훈,구교환,홍사빈,
20208245,핸섬가이즈,20240626,20241008.0,Disney+,4900000000.0,코미디,15,101,1,0.0,한국,(주)하이브미디어코프,남동협,이성민,이희준,공승연,
20200142,소방관,20241204,20250123.0,Wavve (with IPTV),9600000000.0,드라마,12,106,0,0.0,한국,주식회사 에스크로드,곽경택,주원,곽도원,유재명,
20204271,행복의 나라,20240814,20240919.0,Tiving (with IPTV),12000000000.0,드라마,12,124,0,0.0,한국,(주)파파스필름,추창민,조정석,이선균,유재명,
20234045,설계자,20240529,20240618.0,Disney+,8000000000.0,범죄,15,99,1,0.0,한국,영화사 집,이요섭,강동원,이무생,이미숙,
20249733,사랑의 하츄핑,20240807,20241230.0,Netflix,3000000000.0,애니메이션,0,86,1,0.0,한국,(주)에스에이엠지엔터테인먼트,김수훈,이지현,조경이,최낙윤,
20190300,보고타: 마지막 기회의 땅,20241231,20250203.0,Netflix,13000000000.0,범죄,15,107,0,0.0,한국,(주)영화사수박,김성제,송중기,이희준,권해효,
20233218,6시간 후 너는 죽는다,20241016,20250222.0,Netflix,3000000000.0,스릴러,15,91,1,0.0,한국,(주)미스터리픽처스,이윤석,박주현,정재현,곽시양,
20231415,소풍,20240207,20240521.0,Netflix,1500000000.0,드라마,12,114,0,0.0,한국,(주)로케트필름,김용균,나문희,김영옥,박근형,
20233261,청설,20241106,20250303.0,Coupang play,2500000000.0,드라마,0,109,1,0.0,한국,(주)무비락,조선호,홍경,노윤서,김민주,
20247430,퍼스트레이디,20241212,20250305.0,Wavve,100000000.0,다큐멘터리,12,105,0,0.0,한국,서울의소리,아에몽,,,,
20247574,아메바 소녀들과 학교괴담: 개교기념일,20241106,20250225.0,Netflix,1000000000.0,코미디,15,90,0,0.0,한국,(주)26컴퍼니,김민하,김도연,손주연,강신희,
20233057,아마존 활명수,20241030,20250130.0,Netflix,4000000000.0,코미디,12,113,0,0.0,한국,(주)로드픽쳐스,김창주,류승룡,진선규,이고르 페드로소,
20240925,"안녕, 할부지",20240904,20241013.0,Netflix,100000000.0,다큐멘터리,0,95,0,0.0,한국,(주)에이컴즈,토마스 고,푸바오,아이바오,러바오,
20225184,히든페이스,20241120,20250110.0,Coupang play,3000000000.0,스릴러,19,115,1,0.0,한국,(주)스튜디오앤뉴,김대우,송승헌,조여정,박지현,
20235994,원정빌라,20241204,20251231.0,Wavve,200000000.0,공포(호러),15,86,0,0.0,한국,(주)케이드래곤,김선국,이현우,문정희,방민아,
